epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.196,1.68244,2.15954,1.53336,0.71525,0.51562,0.57534,0.3494,1.47046,2.07194,1.40484,0.000652778,0.000652778,0.000652778
2,364.416,1.40117,1.5484,1.34619,0.67768,0.625,0.71568,0.35822,1.63935,1.74394,1.59704,0.00129332,0.00129332,0.00129332
3,545.76,1.40648,1.4679,1.35145,0.61388,0.73438,0.59756,0.31653,1.60409,1.66163,1.54122,0.00190746,0.00190746,0.00190746
4,727.596,1.37095,1.36302,1.32443,0.73641,0.6875,0.7494,0.41324,1.44738,1.89002,1.46961,0.0018812,0.0018812,0.0018812
5,909.003,1.32603,1.29291,1.30346,0.74544,0.70312,0.72983,0.41749,1.41534,1.33955,1.37245,0.0018416,0.0018416,0.0018416
6,1090.71,1.29835,1.22415,1.28476,0.6757,0.76562,0.75089,0.40956,1.41743,1.32976,1.3149,0.001802,0.001802,0.001802
7,1272.46,1.2958,1.17155,1.27096,0.79937,0.74711,0.7856,0.48211,1.3107,1.22666,1.28718,0.0017624,0.0017624,0.0017624
8,1454.25,1.27828,1.13703,1.26275,0.73981,0.79973,0.84378,0.47899,1.38697,1.14823,1.32526,0.0017228,0.0017228,0.0017228
9,1636.26,1.23903,1.11942,1.24012,0.68471,0.8125,0.75201,0.41717,1.47261,1.13039,1.39016,0.0016832,0.0016832,0.0016832
10,1865.11,1.25998,1.1209,1.24501,0.8419,0.74884,0.8354,0.47517,1.39118,1.07803,1.33745,0.0016436,0.0016436,0.0016436
11,2047,1.20898,1.0579,1.22452,0.75819,0.71875,0.78796,0.42544,1.52383,1.22336,1.45141,0.001604,0.001604,0.001604
12,2228.39,1.218,1.06885,1.22894,0.83926,0.78125,0.86686,0.53813,1.36938,0.93285,1.30458,0.0015644,0.0015644,0.0015644
13,2410.11,1.20094,1.04903,1.21656,0.77521,0.70052,0.74045,0.43552,1.42096,1.19569,1.34518,0.0015248,0.0015248,0.0015248
14,2591.45,1.16397,1.00976,1.19035,0.76083,0.75,0.81334,0.44632,1.47455,1.09794,1.40022,0.0014852,0.0014852,0.0014852
15,2773.76,1.15494,0.99818,1.18526,0.70365,0.85333,0.85117,0.4937,1.36899,1.01851,1.30285,0.0014456,0.0014456,0.0014456
16,2955.96,1.15594,0.95698,1.1864,0.72643,0.78125,0.8087,0.48075,1.32976,1.06731,1.27905,0.001406,0.001406,0.001406
17,3140.92,1.14737,0.96251,1.19312,0.84507,0.8125,0.84747,0.4976,1.29062,0.95217,1.28187,0.0013664,0.0013664,0.0013664
18,3320.27,1.13132,0.9407,1.1765,0.67405,0.76562,0.7845,0.47844,1.35062,1.15025,1.34415,0.0013268,0.0013268,0.0013268
19,3498.68,1.12815,0.93388,1.17442,0.73326,0.73023,0.77949,0.46582,1.34769,1.09628,1.39166,0.0012872,0.0012872,0.0012872
20,3678.1,1.11503,0.92473,1.17272,0.80971,0.85938,0.89966,0.52926,1.34299,0.93608,1.35971,0.0012476,0.0012476,0.0012476
